equipment_id,equipment_type,runtime_hours,temperature,fault_count_30_days,downtime_minutes_30_days,days_since_last_pm,sensor_reading,throughput_rate,failure_next_7_days,fault_type
EQ_0001,conveyor,910,84.52,2,87,117,40.77,1623,0,none
EQ_0002,conveyor,2969,71.03,2,235,89,42.12,2084,1,motor_fault
EQ_0003,sorter,524,65.85,2,174,62,54.71,1062,0,none
EQ_0004,sorter,1949,108.71,0,306,7,55.91,520,1,sensor_fault
EQ_0005,conveyor,2938,70.79,2,263,47,45.62,534,0,none
EQ_0006,divert,2303,63.68,3,190,18,43.86,1229,0,none
EQ_0007,conveyor,1629,86.86,1,189,40,52.57,2248,0,none
EQ_0008,divert,2817,81.16,4,300,65,74.63,2380,1,belt_issues
EQ_0009,conveyor,2618,69.88,0,138,115,59.18,1092,0,none
EQ_0010,conveyor,441,88.73,1,40,28,61.32,634,0,none
EQ_0011,conveyor,250,59.9,1,215,37,66.49,598,0,none
EQ_0012,sorter,2781,88.02,2,256,5,54.45,1741,0,none
EQ_0013,sorter,552,77.57,2,178,63,73.47,1363,0,none
EQ_0014,divert,2840,109.6,3,28,36,34.62,1024,0,none
EQ_0015,divert,1233,97.48,3,283,28,62.36,2143,0,none
EQ_0016,conveyor,1413,79.16,3,376,27,64.53,2481,0,none
EQ_0017,divert,2730,81.55,0,136,62,53.92,2200,0,none
EQ_0018,sorter,1307,83.44,3,51,12,47.51,2033,0,none
EQ_0019,divert,1686,78.72,1,224,1,86.95,1926,0,none
EQ_0020,induct station,1711,77.58,4,254,38,32.47,779,0,none
EQ_0021,sorter,2981,77.46,4,258,20,53.25,1263,0,none
EQ_0022,induct station,2005,78.11,2,127,39,44.52,837,0,none
EQ_0023,divert,2969,73.34,3,251,16,36.72,845,0,none
EQ_0024,robot,673,94.37,1,139,69,88.09,1560,1,jam
EQ_0025,sorter,1233,60.72,6,103,84,67.86,753,0,none
EQ_0026,induct station,2607,66.18,3,67,33,33.59,897,0,none
EQ_0027,robot,1350,72.45,4,374,22,33.31,1249,0,none
EQ_0028,robot,1743,77.07,6,316,48,55.12,1158,0,none
EQ_0029,sorter,596,77.86,5,94,99,52.86,1199,0,none
EQ_0030,sorter,1042,75.39,2,17,25,42.87,2258,0,none
EQ_0031,robot,2663,85.56,3,154,106,76.44,1909,1,jam
